FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
294;Walmart Neighborhood Market;Supermarket;2305 Jordan Ln SW;Huntsville;418273.388907;1533929.60675;Grocery;35805;2016-10-13T07:30:00+05:30;;;"{""coordinates"": [-86.62491073219853, 34.71358474780493], ""type"": ""Point""}";34.71358474780493, -86.62491073219853
229;Meridian Street Hop In;Convenience Store;3310 Meridian St NE;Huntsville;434361.800956;1553776.18188;Convenience Store;35811;;;;"{""coordinates"": [-86.57186685318544, 34.76844767375539], ""type"": ""Point""}";34.76844767375539, -86.57186685318544
47;Earth Fare;Supermarket;5900 University Dr NW Unit C;Huntsville;406002.865876;1544502.15811;Grocery;35806;;;;"{""coordinates"": [-86.66602754577157, 34.74235931549691], ""type"": ""Point""}";34.74235931549691, -86.66602754577157
147;University Chevron;Convenience Store;2605 University Dr NW;Huntsville;423952.218101;1542456.9601;Convenience Store;35816;;;;"{""coordinates"": [-86.60623440876736, 34.737134147126895], ""type"": ""Point""}";34.737134147126895, -86.60623440876736
104;Big Cove Raceway;Convenience Store;5695 US 431 S Hwy SE;Brownsboro;455473.045151;1524657.50488;Convenience Store;35741;;;;"{""coordinates"": [-86.5009350326861, 34.688851113086216], ""type"": ""Point""}";34.688851113086216, -86.5009350326861
254;Publix;Supermarket;5850 Al 53 Hwy;Harvest;393002.949947;1582523.28482;Grocery;35749;;;;"{""coordinates"": [-86.71039984703705, 34.84651137685319], ""type"": ""Point""}";34.84651137685319, -86.71039984703705
152;Sparkman BP;Convenience Store;2537 Sparkman Dr NW;Huntsville;427021.667999;1551876.72013;Convenience Store;35810;;;;"{""coordinates"": [-86.5962568957066, 34.76307840809898], ""type"": ""Point""}";34.76307840809898, -86.5962568957066
193;Mapco Express;Convenience Store;2220 Zierdt Rd SW;Huntsville;389983.231905;1509358.52203;Convenience Store;35824;;;;"{""coordinates"": [-86.7183162648432, 34.64543150619426], ""type"": ""Point""}";34.64543150619426, -86.7183162648432
115;CVS;Drugstore;3115 Bob Wallace Ave SW;Huntsville;423132.280108;1532921.92602;Drug and General Merchandise;35805;;;;"{""coordinates"": [-86.60871860679029, 34.710920197180464], ""type"": ""Point""}";34.710920197180464, -86.60871860679029
278;CVS;Drugstore;2001 Cecil Ashburn Dr SE;Huntsville;444114.032108;1518802.15209;Drug and General Merchandise;35802;;;;"{""coordinates"": [-86.5385813274271, 34.6725508962697], ""type"": ""Point""}";34.6725508962697, -86.5385813274271
239;Tango Oriental Market;Specialty;8402 Whitesburg Dr SW Unit H;Huntsville;435506.261922;1512179.62892;Grocery;35802;;;;"{""coordinates"": [-86.56704654699696, 34.654186812682504], ""type"": ""Point""}";34.654186812682504, -86.56704654699696
213;Quik Mart;Convenience Store;3720 AL 53 Hwy NW;Huntsville;405802.779006;1562622.42895;Convenience Store;35806;;;;"{""coordinates"": [-86.6671940353163, 34.79213742275874], ""type"": ""Point""}";34.79213742275874, -86.6671940353163
122;Dollar General;Variety Store;6201 Old Madison Pke NW;Huntsville;408139.1139;1533629.88786;Variety Store;35806;;;;"{""coordinates"": [-86.65862058891275, 34.71253756997968], ""type"": ""Point""}";34.71253756997968, -86.65862058891275
283;CVS;Drugstore;8470 US 72 W Hwy NW;Madison;375306.497151;1547349.63306;Drug and General Merchandise;35757;;;;"{""coordinates"": [-86.76827954187283, 34.74944075822591], ""type"": ""Point""}";34.74944075822591, -86.76827954187283
21;Namaste Plaza;Specialty;600 Jordan Ln NW;Huntsville;417788.226492;1539193.16971;Grocery;35816;;;;"{""coordinates"": [-86.62666306070844, 34.72803533605548], ""type"": ""Point""}";34.72803533605548, -86.62666306070844
219;Campus Corner;Convenience Store;109 Winchester Rd NE;Huntsville;434593.288026;1562764.76791;Convenience Store;35811;;;;"{""coordinates"": [-86.57131603626289, 34.79314761920337], ""type"": ""Point""}";34.79314761920337, -86.57131603626289
130;Sam's Club;Warehouse Club;5651 Holmes Ave NW;Huntsville;408227.944103;1542091.88504;Bulk Merchandise;35816;;;;"{""coordinates"": [-86.6585560399924, 34.73578782459285], ""type"": ""Point""}";34.73578782459285, -86.6585560399924
286;Rite Aid;Drugstore;298 Hughes Rd;Madison;382834.632029;1531554.2529;Drug and General Merchandise;35758;;;;"{""coordinates"": [-86.7427469146934, 34.706235776925304], ""type"": ""Point""}";34.706235776925304, -86.7427469146934
79;Toney's Food Mart;Convenience Store;11856 Pulaski Pike;Toney;392431.72504;1613947.04514;Convenience Store;35773;;;;"{""coordinates"": [-86.71322332774835, 34.93282681640161], ""type"": ""Point""}";34.93282681640161, -86.71322332774835
234;Parkway Chevron;Convenience Store;4964 Memorial Pky NW;Huntsville;432876.013573;1562470.21404;Convenience Store;35810;;;;"{""coordinates"": [-86.57702794385776, 34.79230355128922], ""type"": ""Point""}";34.79230355128922, -86.57702794385776
131;Sam's Club;Warehouse Club;2235 National Blv SW;Huntsville;433861.102811;1507854.17366;Bulk Merchandise;35803;;;;"{""coordinates"": [-86.57241091988332, 34.642269748572154], ""type"": ""Point""}";34.642269748572154, -86.57241091988332
297;Kroger;Supermarket;4579 Wall Triana Hwy;Madison;380807.91397;1532251.1977;Grocery;35758;2016-10-13T07:30:00+05:30;;;"{""coordinates"": [-86.74832795454614, 34.70825197876831], ""type"": ""Point""}";34.70825197876831, -86.74832795454614
89;W.L. Halsey;Specialty;300 Jefferson St NW;Huntsville;429472.015132;1541057.38908;Cash and Carry;35801;;;;"{""coordinates"": [-86.58782893877648, 34.73340413630982], ""type"": ""Point""}";34.73340413630982, -86.58782893877648
269;Dollar General;Variety Store;1935 Jeff Rd;Huntsville;392209.34786;1570500.82199;Variety Store;35806;;;;"{""coordinates"": [-86.71269324040581, 34.81346314424753], ""type"": ""Point""}";34.81346314424753, -86.71269324040581
160;Drake Food Mart;Convenience Store;2100 Drake Ave SW Unit A;Huntsville;428096.968998;1531055.62004;Convenience Store;35805;;;;"{""coordinates"": [-86.59215395297086, 34.705896665001816], ""type"": ""Point""}";34.705896665001816, -86.59215395297086
5;Hi & Bye Grocery;Convenience Store;1449 O'Shaughnessy Ave NE;Huntsville;435492.82002;1544522.85492;Grocery;35801;;;;"{""coordinates"": [-86.56787607633653, 34.74304771170523], ""type"": ""Point""}";34.74304771170523, -86.56787607633653
98;5 Points Fuel Stop;Convenience Store;205 Andrew Jackson Way NE;Huntsville;432711.361016;1542669.06597;Convenience Store;35801;;;;"{""coordinates"": [-86.57708814883874, 34.73789839082788], ""type"": ""Point""}";34.73789839082788, -86.57708814883874
273;Dollar General;Variety Store;110 Crossing Blv;Meridianville;435500.265871;1590606.71616;Variety Store;35759;;;;"{""coordinates"": [-86.56897547420567, 34.869658369863714], ""type"": ""Point""}";34.869658369863714, -86.56897547420567
184;MinitMan;Convenience Store;5004 Whitesburg Dr SW;Huntsville;435110.177084;1525581.34884;Convenience Store;35802;;;;"{""coordinates"": [-86.56868880708701, 34.69099949079468], ""type"": ""Point""}";34.69099949079468, -86.56868880708701
7;Hobbs Island Grocery & Beverage;Convenience Store;981 Hobbs Island Rd;Huntsville;441953.540038;1479048.81592;Grocery;35803;;;;"{""coordinates"": [-86.54483349549331, 34.56328711044929], ""type"": ""Point""}";34.56328711044929, -86.54483349549331
217;Tide Clean;Convenience Store;2407 Memorial Pky NW Unit A;Huntsville;427223.484852;1549024.06803;Convenience Store;35810;;;;"{""coordinates"": [-86.59551298583956, 34.75524524564882], ""type"": ""Point""}";34.75524524564882, -86.59551298583956
274;Fred's;Variety Store;7271 Wall Triana Hwy;Madison;381478.763678;1564731.18786;Variety Store;35757;;;;"{""coordinates"": [-86.74826227696497, 34.797348827093884], ""type"": ""Point""}";34.797348827093884, -86.74826227696497
233;Om Sirdi Sai Inc;Convenience Store;1450 Sparkman Dr NW;Huntsville;412125.900874;1543196.93303;Convenience Store;35816;;;;"{""coordinates"": [-86.6456132881309, 34.738911006835224], ""type"": ""Point""}";34.738911006835224, -86.6456132881309
40;Walmart Supercenter;Supermarket;6140 University Dr NW;Huntsville;403037.94989;1546249.14838;Grocery;35806;;;;"{""coordinates"": [-86.67594429545997, 34.74709104020719], ""type"": ""Point""}";34.74709104020719, -86.67594429545997
258;Dollar General;Variety Store;2900 Triana Blv SW Unit A;Huntsville;422555.038153;1532774.81312;Variety Store;35805;;;;"{""coordinates"": [-86.61063533948199, 34.71050378042479], ""type"": ""Point""}";34.71050378042479, -86.61063533948199
291;Publix;Supermarket;7830 US 72 Hwy W;Madison;383316.987036;1549690.41085;Grocery;35758;;;;"{""coordinates"": [-86.74168724540479, 34.75607336129748], ""type"": ""Point""}";34.75607336129748, -86.74168724540479
241;Family Dollar;Variety Store;3012 Memorial Pky NW;Huntsville;429777.615899;1551766.91884;Variety Store;35810;;;;"{""coordinates"": [-86.58707916555147, 34.76283388415531], ""type"": ""Point""}";34.76283388415531, -86.58707916555147
55;Curt & Betty's Grocery;Convenience Store;110 Wilson Mann Rd;Owens Cross Roads;468061.662034;1487877.83008;Grocery;35763;;;;"{""coordinates"": [-86.45830339687583, 34.58801994912534], ""type"": ""Point""}";34.58801994912534, -86.45830339687583
264;Dollar General;Variety Store;7950 US 72 W Hwy Unit D;Madison;381239.348146;1548908.70999;Variety Store;35758;;;;"{""coordinates"": [-86.74857947816454, 34.753874012196604], ""type"": ""Point""}";34.753874012196604, -86.74857947816454
11;John's Big Brother Super Market;Supermarket;4008 Holmes Ave NW;Huntsville;417128.494872;1539166.1527;Grocery;35816;;;;"{""coordinates"": [-86.62885775375631, 34.72794679188491], ""type"": ""Point""}";34.72794679188491, -86.62885775375631
251;Walmart Neighborhood Market;Supermarket;7140 Wall Triana Hwy;Madison;381018.66158;1563299.35181;Grocery;35757;;;;"{""coordinates"": [-86.74975107345335, 34.793403653194645], ""type"": ""Point""}";34.793403653194645, -86.74975107345335
57;EZ Xpress;Convenience Store;4113 Bob Wallace Ave SW;Huntsville;417857.453388;1533564.94803;Convenience Store;35805;;;;"{""coordinates"": [-86.62628504778793, 34.71257388578745], ""type"": ""Point""}";34.71257388578745, -86.62628504778793
276;Far East Market;Specialty;7193 US 72 W Hwy NW Unit A;Madison;390904.359984;1549314.616;Grocery;35758;;;;"{""coordinates"": [-86.71641967497902, 34.75522672578309], ""type"": ""Point""}";34.75522672578309, -86.71641967497902
25;Walmart Neighborhood Market;Supermarket;9020 Bailey Cove Rd SE;Huntsville;443125.514728;1509610.99692;Grocery;35802;;;;"{""coordinates"": [-86.54165380294569, 34.64727935486161], ""type"": ""Point""}";34.64727935486161, -86.54165380294569
252;Whole Foods Market;Supermarket;2501 Memorial Pky SW;Huntsville;428804.1582;1533412.12222;Grocery;35801;;;;"{""coordinates"": [-86.58986017546226, 34.71238560529232], ""type"": ""Point""}";34.71238560529232, -86.58986017546226
58;All In One Discount Center;Convenience Store;2520 Oakwood Ave NW;Huntsville;422882.842287;1547095.79268;Convenience Store;35810;;;;"{""coordinates"": [-86.60991266262833, 34.74985621974226], ""type"": ""Point""}";34.74985621974226, -86.60991266262833
287;Rite Aid;Drugstore;12290 US 231-431 N Hwy;Meridianville;435376.585016;1591169.6071;Drug and General Merchandise;35759;;;;"{""coordinates"": [-86.56940154236973, 34.871202341109786], ""type"": ""Point""}";34.871202341109786, -86.56940154236973
77;Super Value Grocery Store;Convenience Store;8286 Wall Triana Hwy;Harvest;381197.688453;1576778.4574;Convenience Store;35749;;;;"{""coordinates"": [-86.74956470175705, 34.83043882608231], ""type"": ""Point""}";34.83043882608231, -86.74956470175705
289;Walgreens;Drugstore;3500 Mastin Lake Rd NW;Huntsville;421055.812148;1555151.54888;Drug and General Merchandise;35810;;;;"{""coordinates"": [-86.61620304008896, 34.771949540674086], ""type"": ""Point""}";34.771949540674086, -86.61620304008896
61;Clinton Ave Grocery;Convenience Store;2310 Clinton Ave NW;Huntsville;425063.574802;1537398.45414;Convenience Store;35805;;;;"{""coordinates"": [-86.60240694435377, 34.723259789546525], ""type"": ""Point""}";34.723259789546525, -86.60240694435377
26;ALDI;Supermarket;4710 University Dr NW Unit R1;Huntsville;411115.643709;1542357.85137;Grocery;35816;;;;"{""coordinates"": [-86.64895291479236, 34.736583266754764], ""type"": ""Point""}";34.736583266754764, -86.64895291479236
80;Triana Food Mart;Convenience Store;3906 Triana Blvd SW;Huntsville;422727.563398;1527377.25535;Convenience Store;35805;;;;"{""coordinates"": [-86.60992275896834, 34.69567811541305], ""type"": ""Point""}";34.69567811541305, -86.60992275896834
15;Glory Afrikan Store;Specialty;3204 Ninth Ave SW;Huntsville;422905.383252;1534741.95748;Grocery;35805;;;;"{""coordinates"": [-86.60952022227062, 34.715915762627155], ""type"": ""Point""}";34.715915762627155, -86.60952022227062
110;Citgo Express;Convenience Store;204 Jordan Ln NW;Huntsville;417646.208075;1537206.99816;Convenience Store;35805;;;;"{""coordinates"": [-86.62708349664754, 34.722575464108964], ""type"": ""Point""}";34.722575464108964, -86.62708349664754
46;Kroger;Supermarket;7090 US 72 W Hwy NW;Huntsville;392265.301488;1549962.89391;Grocery;35806;;;;"{""coordinates"": [-86.71190831885286, 34.75704052219568], ""type"": ""Point""}";34.75704052219568, -86.71190831885286
81;Triangle Grocery;Convenience Store;9501 Moores Mill Rd;New Market;448065.530767;1603032.98691;Convenience Store;35761;;;;"{""coordinates"": [-86.52737635523704, 34.9040442830611], ""type"": ""Point""}";34.9040442830611, -86.52737635523704
32;Star Super Market;Supermarket;12078 US 231-431 N Hwy;Meridianville;435014.136922;1588794.22733;Grocery;35759;;;;"{""coordinates"": [-86.57055152306879, 34.86466898679865], ""type"": ""Point""}";34.86466898679865, -86.57055152306879
121;Ditto Landing Jet Pep;Convenience Store;13375 Memorial Pky SE Unit A;Huntsville;436669.249097;1487882.91406;Convenience Store;35803;;;;"{""coordinates"": [-86.56259563040287, 34.58745525977469], ""type"": ""Point""}";34.58745525977469, -86.56259563040287
78;Texaco Mini Discount;Convenience Store;8500 Old Madison Pke;Madison;383238.084634;1531926.38011;Convenience Store;35758;;;;"{""coordinates"": [-86.74141590062123, 34.70726813958933], ""type"": ""Point""}";34.70726813958933, -86.74141590062123
105;Bob Wallace Texaco;Convenience Store;3200 Bob Wallace Ave SW;Huntsville;422854.386963;1533229.22987;Convenience Store;35805;;;;"{""coordinates"": [-86.60965106087811, 34.71175859953907], ""type"": ""Point""}";34.71175859953907, -86.60965106087811
67;JJ Grocery;Convenience Store;111 Phillips Rd;Hazel Green;456558.471786;1629277.03646;Convenience Store;35750;;;;"{""coordinates"": [-86.49963621474346, 34.97630493212857], ""type"": ""Point""}";34.97630493212857, -86.49963621474346
128;Dollar General;Variety Store;2601 Memorial Pky NW;Huntsville;427738.136054;1550549.38486;Variety Store;35810;;;;"{""coordinates"": [-86.59383821851681, 34.75944661209775], ""type"": ""Point""}";34.75944661209775, -86.59383821851681
112;Conoco Food Mart;Convenience Store;2614 Governors Dr SW;Huntsville;425278.350947;1536319.41201;Convenience Store;35805;;;;"{""coordinates"": [-86.60166483834384, 34.72029972723644], ""type"": ""Point""}";34.72029972723644, -86.60166483834384
142;Victory Food Mart;Convenience Store;6000 Pulaski Pke NW;Huntsville;421273.907841;1562965.69008;Convenience Store;35810;;;;"{""coordinates"": [-86.61567956301757, 34.7934225790051], ""type"": ""Point""}";34.7934225790051, -86.61567956301757
99;A & T Food Mart;Convenience Store;1110 Washington St NW;Huntsville;429259.975858;1545411.97715;Convenience Store;35801;;;;"{""coordinates"": [-86.58864346971173, 34.74536360778457], ""type"": ""Point""}";34.74536360778457, -86.58864346971173
138;Walgreens;Drugstore;274 Sutton Rd SE;Owens Cross Roads;458918.71805;1513923.29276;Drug and General Merchandise;35763;;;;"{""coordinates"": [-86.48924130368611, 34.6594211119141], ""type"": ""Point""}";34.6594211119141, -86.48924130368611
116;CVS;Drugstore;2210 Winchester Rd NE;Huntsville;458416.359146;1571261.64002;Drug and General Merchandise;35811;;;;"{""coordinates"": [-86.49216096359052, 34.816947471871764], ""type"": ""Point""}";34.816947471871764, -86.49216096359052
151;Sparkman Market;Convenience Store;1214 Sparkman Dr NW;Huntsville;412319.741038;1542976.83406;Convenience Store;35816;;;;"{""coordinates"": [-86.64496224658163, 34.73831061335244], ""type"": ""Point""}";34.73831061335244, -86.64496224658163
103;Big A Convenience Store;Convenience Store;2551 Bob Wallace Ave SW;Huntsville;425729.38515;1532956.18186;Convenience Store;35805;;;;"{""coordinates"": [-86.60007875737926, 34.711068995420455], ""type"": ""Point""}";34.711068995420455, -86.60007875737926
188;MinitMan Amoco;Convenience Store;5600 US 431 Hwy SE;Brownsboro;454176.269857;1524707.66489;Convenience Store;35741;;;;"{""coordinates"": [-86.50524954115716, 34.68896522304653], ""type"": ""Point""}";34.68896522304653, -86.50524954115716
126;Dollar General;Variety Store;2340 Whitesburg Dr SW;Huntsville;433096.343842;1533723.03597;Variety Store;35801;;;;"{""coordinates"": [-86.57558713204008, 34.71332765590087], ""type"": ""Point""}";34.71332765590087, -86.57558713204008
3;Food Valu;Supermarket;1762 Winchester Rd NE;Huntsville;453753.837631;1568711.15267;Grocery;35811;;;;"{""coordinates"": [-86.50763654088239, 34.80985509962194], ""type"": ""Point""}";34.80985509962194, -86.50763654088239
111;Citgo Fuel Express;Convenience Store;2064 US 72 E Hwy NE Unit B;Huntsville;450867.518929;1554778.74189;Convenience Store;35811;;;;"{""coordinates"": [-86.51693518258165, 34.77152309973619], ""type"": ""Point""}";34.77152309973619, -86.51693518258165
198;Kangaroo Express;Convenience Store;5000 Memorial Pky NW;Huntsville;433040.239951;1562851.81301;Convenience Store;35810;;;;"{""coordinates"": [-86.57649041996062, 34.79335529500142], ""type"": ""Point""}";34.79335529500142, -86.57649041996062
141;Victory Handy Food Mart;Convenience Store;3420 Memorial Pky NW;Huntsville;430301.647987;1554643.82811;Convenience Store;35810;;;;"{""coordinates"": [-86.58540627622162, 34.77074869491265], ""type"": ""Point""}";34.77074869491265, -86.58540627622162
37;9th Avenue Top Stop;Convenience Store;4003 Ninth Ave SW;Huntsville;419286.091278;1534728.77346;Grocery;35805;;;;"{""coordinates"": [-86.62156215394239, 34.71580222428398], ""type"": ""Point""}";34.71580222428398, -86.62156215394239
113;CVS;Drugstore;11030 Memorial Pky SW;Huntsville;435202.050916;1503421.28784;Drug and General Merchandise;35803;;;;"{""coordinates"": [-86.56784577494608, 34.63011745895907], ""type"": ""Point""}";34.63011745895907, -86.56784577494608
226;Lakeside Food Mart;Convenience Store;2990 AL 53 Hwy NW;Huntsville;410694.693107;1555220.45688;Convenience Store;35806;;;;"{""coordinates"": [-86.65070200522602, 34.77191213312491], ""type"": ""Point""}";34.77191213312491, -86.65070200522602
171;Hampton Cove Exxon;Convenience Store;6585 US 431 S Hwy SE;Owens Cross Roads;460688.174156;1514629.0689;Convenience Store;35763;;;;"{""coordinates"": [-86.4833728577476, 34.66139174817362], ""type"": ""Point""}";34.66139174817362, -86.4833728577476
70;Moores Mill Grocery;Convenience Store;7346  Moores Mill Rd;Huntsville;450468.731013;1578951.85824;Convenience Store;35811;;;;"{""coordinates"": [-86.5188126099129, 34.83792944049043], ""type"": ""Point""}";34.83792944049043, -86.5188126099129
157;Service Food;Convenience Store;404 US 72 E Hwy NW;Huntsville;432543.649081;1551518.62308;Convenience Store;35811;;;;"{""coordinates"": [-86.57786448478669, 34.76220837220692], ""type"": ""Point""}";34.76220837220692, -86.57786448478669
242;Family Dollar;Variety Store;809 Wellman Ave NE;Huntsville;433056.332111;1542669.481;Variety Store;35801;;;;"{""coordinates"": [-86.5759400403636, 34.737906536659374], ""type"": ""Point""}";34.737906536659374, -86.5759400403636
206;L & N Texaco;Convenience Store;4200 Bob Wallace Ave SW;Huntsville;417505.396021;1533811.80186;Convenience Store;35805;;;;"{""coordinates"": [-86.6274628624007, 34.71324446246964], ""type"": ""Point""}";34.71324446246964, -86.6274628624007
82;Mapco Express;Convenience Store;6670 US 431 S Hwy SE;Owens Cross Roads;460591.860373;1513717.85714;Convenience Store;35763;;;;"{""coordinates"": [-86.48367355726094, 34.658886477699625], ""type"": ""Point""}";34.658886477699625, -86.48367355726094
170;Greenbrier Chevron;Convenience Store;6725 Swancott Rd SW;Madison;351917.274901;1506657.20001;Convenience Store;35756;;;;"{""coordinates"": [-86.84476743154534, 34.63702622370485], ""type"": ""Point""}";34.63702622370485, -86.84476743154534
263;Dollar General;Variety Store;610 Nance Rd NW;Madison;386203.370042;1555327.71192;Variety Store;35757;;;;"{""coordinates"": [-86.73224706717846, 34.77163201768446], ""type"": ""Point""}";34.77163201768446, -86.73224706717846
210;Pulaski Wavaho;Convenience Store;1619 Pulaski Pke NW;Huntsville;423988.332858;1544448.08308;Convenience Store;35816;;;;"{""coordinates"": [-86.60616515350206, 34.74260532078875], ""type"": ""Point""}";34.74260532078875, -86.60616515350206
139;Walgreens;Drugstore;3997 University Dr NW;Huntsville;417941.134651;1541526.23919;Drug and General Merchandise;35816;;;;"{""coordinates"": [-86.62621543925339, 34.73444850202436], ""type"": ""Point""}";34.73444850202436, -86.62621543925339
271;Dollar General;Variety Store;136 Countess Rd NE;Huntsville;435083.643016;1575727.23805;Variety Store;35810;;;;"{""coordinates"": [-86.56999984482447, 34.828770480244934], ""type"": ""Point""}";34.828770480244934, -86.56999984482447
266;Dollar General;Variety Store;12879 Memorial Pky SE;Huntsville;437248.429041;1491761.21208;Variety Store;35803;;;;"{""coordinates"": [-86.56076437784955, 34.59812234657817], ""type"": ""Point""}";34.59812234657817, -86.56076437784955
218;Y & J Corporation;Convenience Store;600 Jordan Ln NW Unit 5;Huntsville;417779.807874;1539081.58988;Convenience Store;35816;;;;"{""coordinates"": [-86.6266881464345, 34.72772860009484], ""type"": ""Point""}";34.72772860009484, -86.6266881464345
148;Triana Food Mart;Convenience Store;3906 Triana Blv SW;Huntsville;422727.563398;1527377.25535;Convenience Store;35805;;;;"{""coordinates"": [-86.60992275896834, 34.69567811541305], ""type"": ""Point""}";34.69567811541305, -86.60992275896834
284;Rite Aid;Drugstore;444 Wynn Dr NW;Huntsville;409850.116056;1541593.20887;Drug and General Merchandise;35816;;;;"{""coordinates"": [-86.65314390133514, 34.73445423385731], ""type"": ""Point""}";34.73445423385731, -86.65314390133514
272;Dollar General;Variety Store;30664 US 72 W Hwy NW;Madison;369636.419909;1546610.02167;Variety Store;35756;;;;"{""coordinates"": [-86.78712872930971, 34.747262490322136], ""type"": ""Point""}";34.747262490322136, -86.78712872930971
236;Pharmacy First;Drugstore;2302 Whitesburg Dr SW;Huntsville;432630.205994;1534679.08195;Drug and General Merchandise;35801;;;;"{""coordinates"": [-86.57716157265409, 34.71594486659738], ""type"": ""Point""}";34.71594486659738, -86.57716157265409
172;Rite Aid;Drugstore;1338 Winchester Rd NE Unit A;Huntsville;449107.47094;1566025.29288;Drug and General Merchandise;35811;;;;"{""coordinates"": [-86.52305253638384, 34.80238916149565], ""type"": ""Point""}";34.80238916149565, -86.52305253638384
292;ALDI;Supermarket;7676 US 72 W Hwy NW;Huntsville;385020.044981;1549484.69211;Grocery;35758;;;;"{""coordinates"": [-86.73611281361067, 34.75580987725604], ""type"": ""Point""}";34.75580987725604, -86.73611281361067
290;Walgreens;Drugstore;7813 US 72 W Hwy;Madison;383324.68912;1548637.95791;Drug and General Merchandise;35758;;;;"{""coordinates"": [-86.7416299443598, 34.75318215113843], ""type"": ""Point""}";34.75318215113843, -86.7416299443598
245;Family Dollar;Variety Store;3407 Pulaski Pke NW;Huntsville;420723.577905;1554591.72093;Variety Store;35810;;;;"{""coordinates"": [-86.61729466627212, 34.770404363163095], ""type"": ""Point""}";34.770404363163095, -86.61729466627212
